"filename", "language", "C++", "Markdown", "Makefile", "comment", "blank", "total"
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/result.cpp", "C++", 130, 0, 0, 0, 15, 145
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/result.h", "C++", 42, 0, 0, 0, 5, 47
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/sequence.cpp", "C++", 55, 0, 0, 0, 7, 62
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/sequence.h", "C++", 20, 0, 0, 0, 7, 27
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/util.h", "C++", 256, 0, 0, 14, 32, 302
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/writer.cpp", "C++", 108, 0, 0, 3, 14, 125
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/writer.h", "C++", 38, 0, 0, 0, 8, 46
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/writerThread.cpp", "C++", 67, 0, 0, 1, 16, 84
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/writerThread.h", "C++", 39, 0, 0, 1, 12, 52
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/crc32.h", "C++", 437, 0, 0, 3, 2, 442
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/deflate.h", "C++", 155, 0, 0, 127, 65, 347
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/gzguts.h", "C++", 151, 0, 0, 35, 24, 210
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/inffast.h", "C++", 1, 0, 0, 8, 3, 12
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/inffixed.h", "C++", 84, 0, 0, 7, 4, 95
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/inflate.h", "C++", 73, 0, 0, 44, 6, 123
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/inftrees.h", "C++", 16, 0, 0, 40, 7, 63
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/trees.h", "C++", 120, 0, 0, 1, 8, 129
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/zconf.h", "C++", 403, 0, 0, 63, 46, 512
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/zlib.h", "C++", 279, 0, 0, 1368, 122, 1769
"/Users/liuxing/Documents/git/vs_workspace/SP_BarcodeMap/src/zlib/zutil.h", "C++", 183, 0, 0, 28, 43, 254
"Total", "-", 8108, 60, 31, 1991, 1165, 11355
